"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2014","363.4","364.7","369.7","361.1","1.03K","-0.34%"
"Sep 16, 2014","359.6","363.4","368.0","357.6","1.00K","-1.06%"
"Sep 17, 2014","354.0","359.6","361.4","346.5","1.34K","-1.55%"
"Sep 18, 2014","331.3","354.0","353.4","319.2","2.91K","-6.42%"
"Sep 19, 2014","309.0","331.3","333.2","295.3","3.30K","-6.72%"
"Sep 20, 2014","320.7","309.0","336.6","303.6","2.06K","3.80%"
"Sep 21, 2014","311.7","320.7","322.3","306.2","1.27K","-2.80%"
"Sep 22, 2014","312.1","311.7","318.6","308.8","1.25K","0.13%"
"Sep 23, 2014","340.8","312.1","352.4","306.5","3.14K","9.18%"
"Sep 24, 2014","328.3","340.8","345.2","325.1","1.92K","-3.67%"
"Sep 25, 2014","319.6","328.3","332.2","314.7","1.63K","-2.63%"
"Sep 26, 2014","318.6","319.6","322.3","310.3","1.40K","-0.31%"
"Sep 27, 2014","314.8","318.6","320.5","312.8","0.54K","-1.20%"
"Sep 28, 2014","296.9","314.8","316.8","291.3","1.40K","-5.70%"
"Sep 29, 2014","291.7","296.9","303.7","290.0","1.95K","-1.74%"
"Sep 30, 2014","307.4","291.7","313.1","290.7","1.78K","5.37%"
"Oct 01, 2014","303.4","307.4","312.1","298.1","1.49K","-1.29%"
"Oct 02, 2014","294.4","303.4","306.8","293.6","1.30K","-2.97%"
"Oct 03, 2014","284.2","294.4","298.3","280.6","1.62K","-3.45%"
"Oct 04, 2014","263.5","284.2","290.1","256.9","2.43K","-7.31%"
"Oct 05, 2014","258.6","263.5","274.8","226.1","6.35K","-1.86%"
"Oct 06, 2014","261.6","258.6","283.3","238.4","5.21K","1.18%"
"Oct 07, 2014","263.1","261.6","273.3","257.1","2.12K","0.58%"
"Oct 08, 2014","280.5","263.1","283.5","259.4","2.99K","6.58%"
"Oct 09, 2014","283.5","280.5","310.8","277.5","5.06K","1.08%"
"Oct 10, 2014","285.5","283.5","300.3","279.4","2.27K","0.72%"
"Oct 11, 2014","288.6","285.5","292.1","279.1","1.10K","1.06%"
"Oct 12, 2014","298.5","288.6","301.0","283.0","1.21K","3.43%"
"Oct 13, 2014","306.1","298.5","306.8","291.3","2.44K","2.56%"
"Oct 14, 2014","316.9","306.1","325.7","302.3","2.53K","3.51%"
"Oct 15, 2014","310.9","316.9","319.5","301.9","2.18K","-1.88%"
"Oct 16, 2014","300.3","310.9","311.3","288.9","2.52K","-3.42%"
"Oct 17, 2014","299.5","300.3","301.5","292.4","1.19K","-0.24%"
"Oct 18, 2014","306.6","299.5","310.0","296.1","0.93K","2.37%"
"Oct 19, 2014","304.3","306.6","309.1","301.2","0.67K","-0.75%"
"Oct 20, 2014","299.2","304.3","306.4","297.8","1.12K","-1.69%"
"Oct 21, 2014","302.5","299.2","308.8","297.2","1.44K","1.09%"
"Oct 22, 2014","301.1","302.5","305.1","298.7","1.07K","-0.45%"
"Oct 23, 2014","283.5","301.1","302.6","281.0","2.46K","-5.83%"
"Oct 24, 2014","283.0","283.5","289.7","279.1","1.25K","-0.20%"
"Oct 25, 2014","276.6","283.0","286.4","265.1","1.68K","-2.23%"
"Oct 26, 2014","281.6","276.6","286.9","273.4","0.74K","1.80%"
"Oct 27, 2014","280.7","281.6","285.2","279.9","1.15K","-0.32%"
"Oct 28, 2014","281.9","280.7","285.5","278.7","1.14K","0.41%"
"Oct 29, 2014","268.0","281.9","282.0","266.1","1.94K","-4.92%"
"Oct 30, 2014","274.1","268.0","277.9","265.6","2.24K","2.26%"
"Oct 31, 2014","270.0","274.1","276.5","268.0","1.18K","-1.49%"
"Nov 01, 2014","260.1","270.0","271.4","256.5","1.56K","-3.68%"
"Nov 02, 2014","259.8","260.1","264.9","255.4","1.03K","-0.09%"
"Nov 03, 2014","260.6","259.8","266.3","258.2","1.53K","0.31%"
"Nov 04, 2014","261.4","260.6","265.3","255.4","2.22K","0.30%"
"Nov 05, 2014","270.0","261.4","275.2","260.6","2.03K","3.28%"
"Nov 06, 2014","278.4","270.0","282.8","269.1","2.37K","3.12%"
"Nov 07, 2014","274.3","278.4","281.1","272.3","1.52K","-1.48%"
"Nov 08, 2014","275.0","274.3","276.6","270.1","1.01K","0.26%"
"Nov 09, 2014","286.7","275.0","287.0","273.0","1.34K","4.24%"
"Nov 10, 2014","290.7","286.7","299.0","282.0","2.40K","1.41%"
"Nov 11, 2014","293.9","290.7","296.1","287.9","1.52K","1.08%"
"Nov 12, 2014","326.2","293.9","335.6","292.8","4.53K","11.00%"
"Nov 13, 2014","331.7","326.2","354.4","303.2","6.23K","1.70%"
"Nov 14, 2014","318.3","331.7","332.0","303.9","3.07K","-4.04%"
"Nov 15, 2014","306.2","318.3","324.3","296.1","1.69K","-3.81%"
"Nov 16, 2014","310.0","306.2","315.8","301.0","1.31K","1.24%"
"Nov 17, 2014","311.3","310.0","325.5","304.2","3.33K","0.44%"
"Nov 18, 2014","302.9","311.3","316.0","299.1","2.25K","-2.70%"
"Nov 19, 2014","303.9","302.9","310.8","299.9","1.74K","0.32%"
"Nov 20, 2014","285.8","303.9","305.0","284.5","2.38K","-5.95%"
"Nov 21, 2014","284.0","285.8","290.5","277.1","2.07K","-0.62%"
"Nov 22, 2014","287.1","284.0","294.5","283.1","1.52K","1.06%"
"Nov 23, 2014","296.2","287.1","300.6","284.8","1.50K","3.18%"
"Nov 24, 2014","304.6","296.2","310.9","294.1","3.29K","2.83%"
"Nov 25, 2014","301.4","304.6","313.2","300.1","3.12K","-1.04%"
"Nov 26, 2014","294.5","301.4","303.1","292.7","2.98K","-2.30%"
"Nov 27, 2014","296.0","294.5","300.0","293.6","1.53K","0.52%"
"Nov 28, 2014","302.7","296.0","306.5","290.1","3.59K","2.25%"
"Nov 29, 2014","303.5","302.7","310.4","299.3","1.71K","0.26%"
"Nov 30, 2014","301.0","303.5","305.2","299.5","0.97K","-0.81%"
"Dec 01, 2014","303.5","301.0","306.0","300.1","1.90K","0.82%"
"Dec 02, 2014","304.6","303.5","307.9","299.5","2.30K","0.36%"
"Dec 03, 2014","304.2","304.6","307.3","301.0","1.55K","-0.12%"
"Dec 04, 2014","298.8","304.2","307.2","298.7","2.07K","-1.76%"
"Dec 05, 2014","304.8","298.8","305.1","296.1","1.73K","1.99%"
"Dec 06, 2014","302.9","304.8","305.0","301.1","0.72K","-0.61%"
"Dec 07, 2014","303.9","302.9","304.8","301.8","0.62K","0.31%"
"Dec 08, 2014","296.7","303.9","304.3","295.1","1.83K","-2.37%"
"Dec 09, 2014","285.9","296.7","297.2","278.6","3.60K","-3.63%"
"Dec 10, 2014","282.5","285.9","286.4","281.7","1.77K","-1.20%"
"Dec 11, 2014","283.6","282.5","291.8","275.5","2.82K","0.42%"
"Dec 12, 2014","286.2","283.6","288.5","282.1","1.28K","0.92%"
"Dec 13, 2014","282.5","286.2","286.7","280.0","1.10K","-1.32%"
"Dec 14, 2014","284.2","282.5","287.9","278.3","1.04K","0.62%"
"Dec 15, 2014","280.6","284.2","287.6","280.3","1.64K","-1.25%"
"Dec 16, 2014","267.2","280.6","282.2","265.0","3.02K","-4.79%"
"Dec 17, 2014","261.9","267.2","268.5","256.6","3.11K","-1.99%"
"Dec 18, 2014","255.2","261.9","445.7","245.1","2.93K","-2.54%"
"Dec 19, 2014","260.9","255.2","263.4","252.3","2.54K","2.25%"
"Dec 20, 2014","269.0","260.9","271.7","258.7","2.28K","3.08%"
"Dec 21, 2014","262.8","269.0","269.4","262.0","0.98K","-2.28%"
"Dec 22, 2014","271.1","262.8","272.6","261.0","2.23K","3.16%"
"Dec 23, 2014","274.8","271.1","276.3","269.5","1.94K","1.35%"
"Dec 24, 2014","264.7","274.8","276.1","261.9","1.50K","-3.69%"
"Dec 25, 2014","261.8","264.7","266.6","261.0","0.82K","-1.11%"
"Dec 26, 2014","270.6","261.8","272.2","260.7","0.93K","3.37%"
"Dec 27, 2014","261.3","270.6","271.2","258.1","1.03K","-3.41%"
"Dec 28, 2014","262.3","261.3","268.0","256.8","0.62K","0.35%"
"Dec 29, 2014","258.8","262.3","264.2","257.9","1.51K","-1.31%"
"Dec 30, 2014","257.0","258.8","262.5","256.6","1.62K","-0.69%"
"Dec 31, 2014","264.9","257.0","265.0","256.8","0.84K","3.07%"
"Jan 01, 2015","262.7","264.9","266.5","260.2","0.47K","-0.86%"
"Jan 02, 2015","264.5","262.7","266.1","260.9","1.17K","0.70%"
"Jan 03, 2015","241.3","264.5","264.9","241.1","2.38K","-8.78%"
"Jan 04, 2015","223.1","241.3","245.1","220.6","3.96K","-7.56%"
"Jan 05, 2015","229.6","223.1","235.7","222.6","4.02K","2.92%"
"Jan 06, 2015","241.7","229.6","244.9","228.3","3.83K","5.27%"
"Jan 07, 2015","250.1","241.7","255.6","237.2","3.76K","3.46%"
"Jan 08, 2015","241.7","250.1","250.5","240.4","2.84K","-3.33%"
"Jan 09, 2015","246.2","241.7","249.1","239.0","3.03K","1.85%"
"Jan 10, 2015","234.1","246.2","247.5","232.0","2.23K","-4.93%"
"Jan 11, 2015","228.0","234.1","237.6","222.9","1.87K","-2.58%"
"Jan 12, 2015","227.1","228.0","232.4","225.0","2.51K","-0.41%"
"Jan 13, 2015","192.3","227.1","227.4","188.6","9.39K","-15.32%"
"Jan 14, 2015","149.9","192.3","194.9","146.2","13.08K","-22.05%"
